filter_name,n_trials,omat_mean,omat_std,ess_mean,ess_std,runtime_mean,runtime_std
EKF,50,6.320384548475813,3.676149440050404,nan,nan,0.0033073902130126955,0.00011197632075598449
UKF,50,7.001971981996941,3.9314128525699656,nan,nan,0.012042584419250489,0.000663681356166669
EDH Flow,50,5.25115766671187,2.8444989335775688,500.0,0.0,0.12697514057159423,0.004046585239092047
EDH-PF-PF,50,3.737160676169675,2.817351375886161,7.895524212256795,1.947536535207332,0.19150946140289307,0.0028892930137675355
LEDH Flow,50,1.9236166930932228,1.204180717003545,500.0,0.0,45.3428781747818,0.3705138283753152
LEDH-PF-PF,50,0.9747509187215383,0.14227622747419938,11.433770445523356,3.2715829961989,45.40070065021515,0.2956628929774846
BPF (N=100000),50,2.267806858029444,1.8562261344601687,2.187469596474255,0.48222123437417247,11.44613862514496,0.1659407375413417
